dev_eui,created_at,temperature_c,humidity,co2,pressure,smoke_detected
"0025CA0000000F49","2025-11-07 19:06:14","3.24","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:06:08","3.24","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:06:02","3.24","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:05:55","3.24","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 18:55:51","2.67","95.02","f","f","f"
"0025CA0000000F49","2025-11-07 18:55:44","2.67","95.02","f","f","f"
"0025CA0000000F49","2025-11-07 18:45:34","3.12","99.78","f","f","f"
"0025CA0000000F49","2025-11-07 18:35:30","2.43","96.73","f","f","f"
"0025CA0000000F49","2025-11-07 18:35:23","2.43","96.73","f","f","f"
"0025CA0000000F49","2025-11-07 18:25:13","2.49","90.81","f","f","f"
"0025CA0000000F49","2025-11-07 18:15:03","2.66","98.02","f","f","f"
"0025CA0000000F49","2025-11-07 18:04:58","2.11","92.83","f","f","f"
"0025CA0000000F49","2025-11-07 18:04:42","2.11","92.83","f","f","f"
"0025CA0000000F49","2025-11-07 17:54:32","2.96","93.76","f","f","f"
"0025CA0000000F49","2025-11-07 17:44:28","3.14","98.62","f","f","f"
"0025CA0000000F49","2025-11-07 17:44:14","3.14","98.62","f","f","f"
"0025CA0000000F49","2025-11-07 17:34:04","2.24","94.9","f","f","f"
"0025CA0000000F49","2025-11-07 17:23:59","2.04","85.61","f","f","f"
"0025CA0000000F49","2025-11-07 17:13:54","2.61","93.92","f","f","f"
"0025CA0000000F49","2025-11-07 17:03:43","3.49","95.91","f","f","f"
"0025CA0000000F49","2025-11-07 17:03:38","3.49","95.91","f","f","f"
"0025CA0000000F49","2025-11-07 16:53:38","3.31","96.6","f","f","f"
"0025CA0000000F49","2025-11-07 16:53:32","3.31","96.6","f","f","f"
"0025CA0000000F49","2025-11-07 16:53:26","3.31","96.6","f","f","f"
"0025CA0000000F49","2025-11-07 16:53:19","3.31","96.6","f","f","f"
"0025CA0000000F49","2025-11-07 16:43:09","2.69","93.41","f","f","f"
"0025CA0000000F49","2025-11-07 16:32:59","2.51","84.9","f","f","f"
"0025CA0000000F49","2025-11-07 16:22:49","4.01","93.79","f","f","f"
"0025CA0000000F49","2025-11-07 16:12:38","3.75","92.29","f","f","f"
"0025CA0000000F49","2025-11-07 16:02:47","3.39","86.79","f","f","f"
